
=== New Processing Session Started at: 2025-11-14 14:03:47 ===
SUCCESS | Fetched 79 persons from API
104 | SUCCESS | Transaction added for nan - amount: 131000000
105 | SUCCESS | Transaction added for nan - amount: 1800
106 | SUCCESS | Transaction added for محسن خانگاه - amount: 32630000
107 | SUCCESS | Transaction added for nan - amount: 18600
108 | SUCCESS | Transaction added for nan - amount: 19152000
109 | SUCCESS | Transaction added for nan - amount: 12200
110 | SUCCESS | Transaction added for nan - amount: 23528000
111 | SUCCESS | Transaction added for nan - amount: 15400
112 | SUCCESS | Transaction added for nan - amount: 250000
113 | SUCCESS | Transaction added for nan - amount: 15600000
114 | SUCCESS | Transaction added for nan - amount: 1800
115 | SUCCESS | Transaction added for nan - amount: 1800000
116 | SUCCESS | Transaction added for nan - amount: 1650000
117 | SUCCESS | Transaction added for nan - amount: 30000000
118 | SUCCESS | Transaction added for nan - amount: 20000000
119 | SUCCESS | Transaction added for nan - amount: 243000
120 | SUCCESS | Transaction added for nan - amount: 1800
121 | SUCCESS | Transaction added for nan - amount: 30000000
122 | SUCCESS | Transaction added for nan - amount: 20000000
123 | SUCCESS | Transaction added for nan - amount: 156000000
124 | SUCCESS | Transaction added for nan - amount: 1800
125 | SUCCESS | Transaction added for nan - amount: 120000000
126 | SUCCESS | Transaction added for nan - amount: 24000
127 | SUCCESS | Transaction added for nan - amount: 1100000
128 | SUCCESS | Transaction added for nan - amount: 5000000
129 | SUCCESS | Transaction added for nan - amount: 550000
130 | SUCCESS | Transaction added for nan - amount: 1150000
131 | SUCCESS | Transaction added for nan - amount: 13000000
132 | SUCCESS | Transaction added for nan - amount: 12000000
133 | SUCCESS | Transaction added for nan - amount: 1800
134 | SUCCESS | Transaction added for nan - amount: 600000
135 | SUCCESS | Transaction added for nan - amount: 30400000
136 | SUCCESS | Transaction added for nan - amount: 1300000
137 | SUCCESS | Transaction added for nan - amount: 1800
138 | SUCCESS | Transaction added for nan - amount: 7000000
139 | SUCCESS | Transaction added for nan - amount: 9000
140 | SUCCESS | Transaction added for nan - amount: 148000000
141 | SUCCESS | Transaction added for nan - amount: 38926800
142 | SUCCESS | Transaction added for nan - amount: 18600
143 | SUCCESS | Transaction added for محسن خانگاه - amount: 58550000
144 | SUCCESS | Transaction added for nan - amount: 25000
145 | SUCCESS | Transaction added for nan - amount: 17000000
146 | SUCCESS | Transaction added for nan - amount: 1800
147 | SUCCESS | Transaction added for nan - amount: 250000
148 | SUCCESS | Transaction added for nan - amount: 550000
149 | SUCCESS | Transaction added for nan - amount: 800000
150 | SUCCESS | Transaction added for nan - amount: 1800
151 | SUCCESS | Transaction added for nan - amount: 148850000
152 | SUCCESS | Transaction added for nan - amount: 128500000
153 | SUCCESS | Transaction added for nan - amount: 25700
154 | SUCCESS | Transaction added for nan - amount: 1800
155 | SUCCESS | Transaction added for nan - amount: 34419600
156 | SUCCESS | Transaction added for nan - amount: 18600
157 | SUCCESS | Transaction added for محسن خانگاه - amount: 37630000
158 | SUCCESS | Transaction added for nan - amount: 18600
159 | SUCCESS | Transaction added for nan - amount: 1800
160 | SUCCESS | Transaction added for nan - amount: 13000000
161 | SUCCESS | Transaction added for nan - amount: 47000000
162 | SUCCESS | Transaction added for nan - amount: 15600000
163 | SUCCESS | Transaction added for nan - amount: 850000
164 | SUCCESS | Transaction added for nan - amount: 1700000
165 | SUCCESS | Transaction added for nan - amount: 1800
166 | SUCCESS | Transaction added for nan - amount: 5000000
167 | SUCCESS | Transaction added for nan - amount: 1084000
168 | SUCCESS | Transaction added for nan - amount: 5000000
169 | SUCCESS | Transaction added for nan - amount: 9000
170 | SUCCESS | Transaction added for nan - amount: 9000
171 | SUCCESS | Transaction added for nan - amount: 5000000
172 | SUCCESS | Transaction added for nan - amount: 5000000
173 | SUCCESS | Transaction added for nan - amount: 9000
174 | SUCCESS | Transaction added for nan - amount: 750000
175 | SUCCESS | Transaction added for nan - amount: 350000
176 | SUCCESS | Transaction added for nan - amount: 5000000
177 | SUCCESS | Transaction added for nan - amount: 9000
178 | SUCCESS | Transaction added for nan - amount: 4000000
179 | SUCCESS | Transaction added for nan - amount: 87000000
180 | SUCCESS | Transaction added for nan - amount: 37000000
181 | SUCCESS | Transaction added for nan - amount: 15600000
182 | SUCCESS | Transaction added for nan - amount: 850000
183 | SUCCESS | Transaction added for nan - amount: 1150000
184 | SUCCESS | Transaction added for nan - amount: 19634400
185 | SUCCESS | Transaction added for nan - amount: 12200
186 | SUCCESS | Transaction added for محسن خانگاه - amount: 28440000
187 | SUCCESS | Transaction added for nan - amount: 15400
188 | SUCCESS | Transaction added for محمد مومني - amount: 3500000
189 | SUCCESS | Transaction added for nan - amount: 9000
190 | SUCCESS | Transaction added for nan - amount: 40000000
191 | SUCCESS | Transaction added for nan - amount: 18600
192 | SUCCESS | Transaction added for nan - amount: 1800
193 | SUCCESS | Transaction added for nan - amount: 2450000
194 | SUCCESS | Transaction added for nan - amount: 4950000
195 | SUCCESS | Transaction added for nan - amount: 9000
196 | SUCCESS | Transaction added for nan - amount: 1150000
197 | SUCCESS | Transaction added for nan - amount: 122500000
198 | SUCCESS | Transaction added for nan - amount: 100000000
199 | SUCCESS | Transaction added for nan - amount: 37800
200 | SUCCESS | Transaction added for nan - amount: 1100000
201 | SUCCESS | Transaction added for nan - amount: 900000
202 | SUCCESS | Transaction added for nan - amount: 15600000
203 | SUCCESS | Transaction added for nan - amount: 12000000
204 | SUCCESS | Transaction added for nan - amount: 800000
205 | SUCCESS | Transaction added for nan - amount: 1800
206 | SUCCESS | Transaction added for nan - amount: 500000
207 | SUCCESS | Transaction added for nan - amount: 750000
208 | SUCCESS | Transaction added for nan - amount: 1400000
209 | SUCCESS | Transaction added for nan - amount: 1800
210 | SUCCESS | Transaction added for nan - amount: 9500000
211 | SUCCESS | Transaction added for nan - amount: 30150000
212 | SUCCESS | Transaction added for nan - amount: 19050000
213 | SUCCESS | Transaction added for nan - amount: 1800
214 | SUCCESS | Transaction added for nan - amount: 110000000
215 | SUCCESS | Transaction added for nan - amount: 1800
216 | SUCCESS | Transaction added for محسن خانگاه - amount: 32540000
217 | SUCCESS | Transaction added for nan - amount: 18600
218 | SUCCESS | Transaction added for nan - amount: 20239200
219 | SUCCESS | Transaction added for nan - amount: 15400
220 | SUCCESS | Transaction added for نيره منتظري - amount: 40000000
221 | SUCCESS | Transaction added for nan - amount: 18600
222 | SUCCESS | Transaction added for nan - amount: 1800
223 | SUCCESS | Transaction added for nan - amount: 1800
224 | SUCCESS | Transaction added for nan - amount: 35400000
225 | SUCCESS | Transaction added for nan - amount: 350000
226 | SUCCESS | Transaction added for nan - amount: 500000
227 | SUCCESS | Transaction added for nan - amount: 1800
228 | SUCCESS | Transaction added for nan - amount: 550000
229 | SUCCESS | Transaction added for nan - amount: 900000
230 | SUCCESS | Transaction added for nan - amount: 63000000
231 | SUCCESS | Transaction added for nan - amount: 57000000
232 | SUCCESS | Transaction added for nan - amount: 5000000
233 | SUCCESS | Transaction added for nan - amount: 9000
234 | SUCCESS | Transaction added for nan - amount: 15600000
235 | SUCCESS | Transaction added for nan - amount: 1800000
236 | SUCCESS | Transaction added for nan - amount: 1750000
237 | SUCCESS | Transaction added for nan - amount: 1800
238 | SUCCESS | Transaction added for nan - amount: 21355000
239 | SUCCESS | Transaction added for nan - amount: 15400
240 | SUCCESS | Transaction added for محسن خانگاه - amount: 32450000
241 | SUCCESS | Transaction added for nan - amount: 18600
242 | SUCCESS | Transaction added for nan - amount: 19612800
243 | SUCCESS | Transaction added for nan - amount: 12200
244 | SUCCESS | Transaction added for nan - amount: 118000000
245 | SUCCESS | Transaction added for nan - amount: 500000
246 | SUCCESS | Transaction added for nan - amount: 1500000
247 | SUCCESS | Transaction added for nan - amount: 15600000
248 | SUCCESS | Transaction added for nan - amount: 550000
249 | SUCCESS | Transaction added for nan - amount: 1800
250 | SUCCESS | Transaction added for nan - amount: 7600000
251 | SUCCESS | Transaction added for nan - amount: 9000
252 | SUCCESS | Transaction added for nan - amount: 20030400
253 | SUCCESS | Transaction added for nan - amount: 15400
254 | SUCCESS | Transaction added for محسن خانگاه - amount: 32600000
255 | SUCCESS | Transaction added for nan - amount: 18600
256 | SUCCESS | Transaction added for nan - amount: 1800
257 | SUCCESS | Transaction added for nan - amount: 47672000
258 | SUCCESS | Transaction added for nan - amount: 125000000
259 | SUCCESS | Transaction added for nan - amount: 1800000
260 | SUCCESS | Transaction added for nan - amount: 12000000
261 | SUCCESS | Transaction added for nan - amount: 26000000
262 | SUCCESS | Transaction added for nan - amount: 3400000
263 | SUCCESS | Transaction added for nan - amount: 9000
264 | SUCCESS | Transaction added for محسن خانگاه - amount: 29310000
265 | SUCCESS | Transaction added for nan - amount: 15400
266 | SUCCESS | Transaction added for nan - amount: 15590000
267 | SUCCESS | Transaction added for nan - amount: 12200
268 | SUCCESS | Transaction added for nan - amount: 600000
269 | SUCCESS | Transaction added for nan - amount: 1000000
270 | SUCCESS | Transaction added for nan - amount: 1100000
271 | SUCCESS | Transaction added for nan - amount: 1700000
272 | SUCCESS | Transaction added for nan - amount: 1000000
273 | SUCCESS | Transaction added for nan - amount: 1100000
274 | SUCCESS | Transaction added for nan - amount: 1800
275 | SUCCESS | Transaction added for nan - amount: 19980000
276 | SUCCESS | Transaction added for nan - amount: 12200
277 | SUCCESS | Transaction added for nan - amount: 34800000
278 | SUCCESS | Transaction added for nan - amount: 57000000
279 | SUCCESS | Transaction added for محمد کوچکي - amount: 15600000
280 | SUCCESS | Transaction added for nan - amount: 12200
281 | SUCCESS | Transaction added for nan - amount: 1800
282 | SUCCESS | Transaction added for nan - amount: 100000000
283 | SUCCESS | Transaction added for nan - amount: 1650000
284 | SUCCESS | Transaction added for nan - amount: 91000000
285 | SUCCESS | Transaction added for nan - amount: 750000
286 | SUCCESS | Transaction added for nan - amount: 750000
287 | SUCCESS | Transaction added for nan - amount: 19587600
288 | SUCCESS | Transaction added for nan - amount: 12200
289 | SUCCESS | Transaction added for محسن خانگاه - amount: 29380000
290 | SUCCESS | Transaction added for nan - amount: 15400
291 | SUCCESS | Transaction added for محمد مومني - amount: 3500000
292 | SUCCESS | Transaction added for nan - amount: 9000
293 | SUCCESS | Transaction added for nan - amount: 40000000
294 | SUCCESS | Transaction added for nan - amount: 18600
295 | SUCCESS | Transaction added for nan - amount: 1800
296 | SUCCESS | Transaction added for nan - amount: 7000000
297 | SUCCESS | Transaction added for nan - amount: 9000
298 | SUCCESS | Transaction added for nan - amount: 500000
299 | SUCCESS | Transaction added for nan - amount: 1800
300 | SUCCESS | Transaction added for nan - amount: 4750000
301 | SUCCESS | Transaction added for nan - amount: 8700000
302 | SUCCESS | Transaction added for nan - amount: 3450000
303 | SUCCESS | Transaction added for nan - amount: 2250000
304 | SUCCESS | Transaction added for nan - amount: 1800
305 | SUCCESS | Transaction added for nan - amount: 1800000
306 | SUCCESS | Transaction added for nan - amount: 1800
307 | SUCCESS | Transaction added for nan - amount: 9375000
308 | SUCCESS | Transaction added for nan - amount: 118000000
309 | SUCCESS | Transaction added for nan - amount: 550000
310 | SUCCESS | Transaction added for nan - amount: 1100000
311 | SUCCESS | Transaction added for nan - amount: 1800000
312 | SUCCESS | Transaction added for nan - amount: 1200000
313 | SUCCESS | Transaction added for nan - amount: 1650000
314 | SUCCESS | Transaction added for nan - amount: 500000
315 | SUCCESS | Transaction added for nan - amount: 1100000
316 | SUCCESS | Transaction added for محمد کوچکي - amount: 15600000
317 | SUCCESS | Transaction added for nan - amount: 12200
318 | SUCCESS | Transaction added for nan - amount: 23995200
319 | SUCCESS | Transaction added for nan - amount: 15400
320 | SUCCESS | Transaction added for محسن خانگاه - amount: 30000000
321 | SUCCESS | Transaction added for nan - amount: 15400
322 | SUCCESS | Transaction added for nan - amount: 8000000
323 | SUCCESS | Transaction added for nan - amount: 9000
324 | SUCCESS | Transaction added for nan - amount: 1800
325 | SUCCESS | Transaction added for nan - amount: 1100000
326 | SUCCESS | Transaction added for nan - amount: 1200000
327 | SUCCESS | Transaction added for nan - amount: 1050000
328 | SUCCESS | Transaction added for nan - amount: 65000000
329 | SUCCESS | Transaction added for nan - amount: 44000000
330 | SUCCESS | Transaction added for nan - amount: 1200000
331 | SUCCESS | Transaction added for nan - amount: 50052600
332 | SUCCESS | Transaction added for nan - amount: 800000
333 | SUCCESS | Transaction added for nan - amount: 19195200
334 | SUCCESS | Transaction added for nan - amount: 12200
335 | SUCCESS | Transaction added for محسن خانگاه - amount: 36380000
336 | SUCCESS | Transaction added for nan - amount: 18600
337 | SUCCESS | Transaction added for nan - amount: 1800
338 | SUCCESS | Transaction added for nan - amount: 50000000
339 | SUCCESS | Transaction added for nan - amount: 50000000
340 | SUCCESS | Transaction added for nan - amount: 1800000
341 | SUCCESS | Transaction added for nan - amount: 1100000
342 | SUCCESS | Transaction added for جواد پيرکماجي - amount: 1000000
343 | SUCCESS | Transaction added for nan - amount: 58000000
344 | SUCCESS | Transaction added for nan - amount: 46000000
345 | SUCCESS | Transaction added for nan - amount: 15600000
346 | SUCCESS | Transaction added for nan - amount: 100000000
347 | SUCCESS | Transaction added for nan - amount: 360000
348 | SUCCESS | Transaction added for nan - amount: 800000
349 | SUCCESS | Transaction added for nan - amount: 1800
350 | SUCCESS | Transaction added for nan - amount: 1800
351 | SUCCESS | Transaction added for nan - amount: 450000
352 | SUCCESS | Transaction added for nan - amount: 1800
353 | SUCCESS | Transaction added for nan - amount: 1550000
354 | SUCCESS | Transaction added for nan - amount: 19756800
355 | SUCCESS | Transaction added for nan - amount: 12200
356 | SUCCESS | Transaction added for محسن خانگاه - amount: 28440000
357 | SUCCESS | Transaction added for nan - amount: 15400
358 | SUCCESS | Transaction added for nan - amount: 1800
359 | SUCCESS | Transaction added for nan - amount: 59000000
360 | SUCCESS | Transaction added for nan - amount: 47000000
361 | SUCCESS | Transaction added for nan - amount: 1800
362 | SUCCESS | Transaction added for محسن خانگاه - amount: 29100000
363 | SUCCESS | Transaction added for nan - amount: 15400
364 | SUCCESS | Transaction added for nan - amount: 50000000
365 | SUCCESS | Transaction added for nan - amount: 21800
366 | SUCCESS | Transaction added for nan - amount: 1700000
367 | SUCCESS | Transaction added for شايسته عسکرآبادي - amount: 800000
368 | SUCCESS | Transaction added for nan - amount: 2750000
369 | SUCCESS | Transaction added for nan - amount: 130000
370 | SUCCESS | Transaction added for nan - amount: 19987200
371 | SUCCESS | Transaction added for nan - amount: 12200

=== Session Summary ===
Total rows in Excel: 371
Previously processed (skipped): 0
Newly processed: 371
Successful: 371
Failed: 0
Processing completed at: 2025-11-14 14:07:48
